               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.055175,            0.062823,            0.015936,             0.63741,             0.90561,             0.88911,             0.47148,            0.061997,            0.049239,             0.01878,           0.0019184,           0.0019184,            0.029018
                  73,            0.051893,            0.070721,            0.016462,             0.80023,             0.85753,             0.93223,             0.47057,            0.053392,            0.049379,            0.018722,           0.0018653,           0.0018653,            0.027965
                  74,            0.044354,            0.079616,            0.014731,             0.81392,              0.9072,              0.9129,             0.45554,            0.047416,            0.049281,            0.018563,           0.0018122,           0.0018122,            0.026912
                  75,            0.046615,            0.054887,            0.016545,             0.56787,             0.74219,             0.72133,             0.35685,            0.060899,            0.050034,            0.018475,           0.0017594,           0.0017594,            0.025859
                  76,            0.057723,            0.053724,            0.017376,             0.56787,             0.74219,             0.72133,             0.35685,            0.060899,            0.050034,            0.018475,           0.0017069,           0.0017069,            0.024807
                  77,            0.056949,             0.05268,            0.017714,             0.54359,             0.74946,             0.74737,             0.32436,            0.065838,            0.051731,            0.018364,            0.001655,            0.001655,            0.023755
                  78,            0.052072,            0.069221,             0.01453,             0.77423,             0.73656,             0.89061,             0.39074,            0.056131,            0.049076,            0.018261,           0.0016038,           0.0016038,            0.022704
                  79,            0.048366,            0.059785,            0.015824,             0.70164,             0.89556,             0.91209,             0.41875,            0.049122,            0.047949,            0.018173,           0.0015535,           0.0015535,            0.021653
                  80,            0.047268,            0.051563,            0.016594,             0.70164,             0.89556,             0.91209,             0.41875,            0.049122,            0.047949,            0.018173,           0.0015043,           0.0015043,            0.020604
                  81,            0.053059,             0.05643,            0.016941,             0.71241,             0.92138,             0.95963,             0.46802,            0.055717,            0.048274,            0.018145,           0.0014563,           0.0014563,            0.019556
                  82,            0.049134,            0.051503,            0.016151,             0.76914,             0.92204,             0.96732,             0.46868,            0.055269,            0.047113,            0.018134,           0.0014097,           0.0014097,             0.01851
                  83,            0.050202,            0.049509,            0.016592,             0.76944,             0.96078,             0.94914,             0.44888,            0.050849,            0.046632,            0.018141,           0.0013648,           0.0013648,            0.017465
                  84,            0.045398,            0.057318,             0.01506,             0.76944,             0.96078,             0.94914,             0.44888,            0.050849,            0.046632,            0.018141,           0.0013216,           0.0013216,            0.016422
                  85,            0.046626,            0.052481,            0.015855,             0.75592,             0.96078,               0.934,             0.44885,            0.051547,            0.046726,             0.01807,           0.0012803,           0.0012803,             0.01538
                  86,            0.045385,            0.060204,            0.015652,              0.7682,             0.96078,             0.91654,             0.45495,            0.048822,            0.047397,            0.017978,           0.0012412,           0.0012412,            0.014341
                  87,            0.044446,            0.053851,            0.015591,             0.53728,             0.90196,             0.81151,             0.39702,            0.055293,             0.05013,            0.017892,           0.0012043,           0.0012043,            0.013304
                  88,             0.04988,            0.055756,            0.015188,             0.53728,             0.90196,             0.81151,             0.39702,            0.055293,             0.05013,            0.017892,           0.0011699,           0.0011699,             0.01227
                  89,            0.048088,            0.061992,            0.016078,             0.72292,             0.90196,             0.92449,              0.4747,            0.050185,            0.049662,            0.017851,           0.0011382,           0.0011382,            0.011238
                  90,            0.041861,            0.063737,            0.014716,             0.67214,              0.8551,             0.86076,             0.42415,            0.052138,            0.050503,            0.017737,           0.0011092,           0.0011092,            0.010209
                  91,            0.052268,            0.061623,            0.016338,             0.67214,              0.8551,             0.86076,             0.42415,            0.052138,            0.050503,            0.017737,           0.0010832,           0.0010832,           0.0091832
                  92,            0.048087,            0.059579,            0.015497,             0.77196,             0.83403,             0.91192,              0.4826,            0.052454,            0.050318,            0.017666,           0.0010603,           0.0010603,           0.0081603
                  93,             0.04908,            0.069606,            0.015047,             0.87305,             0.94412,             0.96682,             0.49084,            0.044307,            0.048487,            0.017604,           0.0010408,           0.0010408,           0.0071408
                  94,            0.039783,            0.049148,            0.016745,             0.87305,             0.94412,             0.96682,             0.49084,            0.044307,            0.048479,            0.017604,           0.0010246,           0.0010246,           0.0061246
                  95,            0.042078,            0.055266,             0.01465,             0.86372,             0.96078,             0.97633,             0.48385,            0.045336,            0.048637,            0.017547,           0.0010121,           0.0010121,           0.0051121
                  96,            0.039803,            0.052637,            0.015286,             0.96196,             0.94105,               0.973,             0.45301,              0.0475,            0.048347,            0.017425,           0.0010034,           0.0010034,           0.0041034
                  97,            0.044174,            0.055373,            0.015318,             0.96196,             0.94105,               0.973,             0.45301,              0.0475,            0.048358,            0.017425,          0.00099855,          0.00099855,           0.0030986
                  98,            0.038638,            0.059038,             0.01386,             0.95459,             0.95411,             0.97965,             0.46319,            0.046101,            0.048132,            0.017264,          0.00099778,          0.00099778,           0.0020978
                  99,            0.036979,            0.046041,            0.016324,             0.95459,             0.95411,             0.97965,             0.46319,            0.046101,            0.048132,            0.017264,           0.0010012,           0.0010012,           0.0011012
